1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	5	5	5	5.5	9.5	14	7	8.5	4.5	6
1	1	0	1	-0.25	1	-0.25	0	-0.25	-0.25	1	0	0	0	0	0	-0.25	1	0	0	1	-0.25	1	-0.25	1	1	-0.25	-0.25	-0.25	1	0.5	2	0	3.75	6.25	8.5	6	7	3	2.25
1	-0.25	-0.25	1	-0.25	1	-0.25	-0.25	-0.25	1	1	-0.25	1	0	1	1	1	-0.25	-0.25	-0.25	1	-0.25	1	1	1	1	-0.25	1	-0.25	-0.25	0	1.5	0.5	5	6	8.5	6	7	3	2.25
1	1	1	-0.25	1	-0.25	-0.25	-0.25	-0.25	-0.25	1	-0.25	-0.25	-0.25	1	-0.25	1	1	-0.25	1	1	-0.25	1	1	0	1	0	1	1	-0.25	2	2.5	1.25	3.25	9.25	9	7	8.5	3	1.25
1	1	1	-0.25	1	1	1	-0.25	-0.25	0	1	1	0	-0.25	1	1	-0.25	1	-0.25	-0.25	1	1	1	1	1	1	-0.25	1	1	1	2.5	3.25	2.5	5.5	5.5	8.5	6	7	3	2.25
1	1	1	1	1	1	-0.25	-0.25	-0.25	-0.25	1	-0.25	-0.25	-0.25	-0.25	1	-0.25	1	-0.25	1	1	1	1	1	1	1	1	1	-0.25	-0.25	1.5	1.5	1	3.5	6.25	9	7	8.5	3	1.25
1	0	1	1	1	1	-0.25	-0.25	0	0	1	0	0	0	0	0	-0.25	1	-0.25	-0.25	1	1	-0.25	-0.25	0	1	1	1	1	-0.25	3.75	2	0	2	9.25	9	7	8.5	3	1.25
1	1	1	-0.25	-0.25	1	-0.25	-0.25	-0.25	1	1	-0.25	-0.25	-0.25	-0.25	1	-0.25	1	-0.25	1	1	-0.25	1	1	-0.25	1	-0.25	1	-0.25	-0.25	1	2.5	0.75	4.25	5	12.5	6.5	8.25	1.5	1.75
-0.25	1	1	1	1	-0.25	-0.25	-0.25	-0.25	1	1	-0.25	1	-0.25	-0.25	-0.25	1	1	-0.25	1	-0.25	1	1	1	-0.25	1	1	1	1	-0.25	0	1.25	0.5	3.5	1.5	6	6.5	8	1.5	1.5
-0.25	-0.25	1	1	1	-0.25	1	-0.25	-0.25	1	-0.25	1	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	1	-0.25	-0.25	1	1	1	1	1	-0.25	-0.25	-0.25	1	1	1.25	0.5	2.75	3.25	6	6.5	8	1.5	1.5
-0.25	1	1	1	1	1	-0.25	-0.25	-0.25	-0.25	1	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	1	-0.25	1	-0.25	1	1	1	1	-0.25	-0.25	1	1	1	3	0.5	2.25	1	6	6.5	8	1.5	1.5
-0.25	1	1	1	1	1	1	-0.25	-0.25	1	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	1	1	1	1	1	-0.25	1	-0.25	-0.25	1	1	1	2.25	0	2.5	2.5	12.5	6.5	8.25	1.5	1.75
-0.25	1	-0.25	1	1	1	1	-0.25	-0.25	-0.25	1	-0.25	-0.25	1	1	1	1	1	1	1	1	1	1	1	-0.25	1	1	1	-0.25	1	3	4	4	3.75	7	12.5	6.5	8.25	1.5	1.75
1	-0.25	1	-0.25	-0.25	-0.25	-0.25	-0.25	0	0	1	1	-0.25	1	1	1	-0.25	-0.25	-0.25	-0.25	1	-0.25	1	-0.25	1	1	-0.25	1	-0.25	1	0.5	1	4	0.75	3	0.75	6	5.5	0	1.5
-0.25	0	1	-0.25	1	-0.25	-0.25	-0.25	-0.25	0	1	0	-0.25	-0.25	-0.25	1	1	1	-0.25	1	1	-0.25	0	-0.25	-0.25	-0.25	-0.25	1	-0.25	-0.25	3	2	3.5	2	4.5	0.75	6	5.5	0	1.5
